Trans. Date,Post Date,Description,Amount,Category
02/21/2022,02/21/2022,"CASHBACK BONUS REDEMPTION PYMT/STMT CRDT",-28.66,"Awards and Rebate Credits"
02/21/2022,02/21/2022,"INTERNET PAYMENT - THANK YOU",-84.07,"Payments and Credits"
02/24/2022,02/24/2022,"PAYPAL *NATIONALRAI 402-935-7733 CA",15.00,"Travel/ Entertainment"
02/25/2022,02/25/2022,"PAYPAL *NATIONALRAI 402-935-7733 CA",48.00,"Travel/ Entertainment"
02/25/2022,02/25/2022,"PAYPAL *NATIONALRAI 888-221-1161 CA",32.00,"Travel/ Entertainment"
02/26/2022,02/26/2022,"AMTRAK F&B SPINE PHILADELPHIA PA",5.50,"Restaurants"
02/26/2022,02/28/2022,"PAYPAL *NATIONALRAI 4029357733 CA",-32.00,"Payments and Credits"
02/27/2022,02/27/2022,"7-ELEVEN 33058 BOSTON MA",2.99,"Gasoline"
02/27/2022,02/27/2022,"MBTA HAYMARKET BOSTON MA",2.40,"Travel/ Entertainment"
02/27/2022,02/27/2022,"PAYPAL *DOMINO'S 3302 402-935-2244 CA",25.61,"Restaurants"
02/28/2022,02/28/2022,"1001 CAFFE NERO MILLENNI BOSTON MA",11.72,"Restaurants"
02/28/2022,02/28/2022,"BJS FUEL #9209 HUDSON MA",38.53,"Gasoline"
02/28/2022,02/28/2022,"MCDONALD'S F6099 LUDLOW MA",7.58,"Restaurants"
02/28/2022,02/28/2022,"MILLENNIUM GARAGE BOSTON MA",61.00,"Services"
02/28/2022,02/28/2022,"SIMMONS COLLEGE BOSTON MA",7.35,"Services"
03/02/2022,03/02/2022,"BJS FUEL #9007 ALBANY NY",21.50,"Gasoline"
03/02/2022,03/02/2022,"BJS WHOLESALE #0007 ALBANY NY",39.90,"Warehouse Clubs"
03/02/2022,03/02/2022,"SQ *KUMA ANI ALBANY NY0002305843015261721818",15.07,"Restaurants"
03/02/2022,03/02/2022,"TARGET 00012682091 COLONIE NY",10.08,"Supermarkets"
03/09/2022,03/09/2022,"PAYPAL *GIVINGFUND GIVI 888-221-1161 CA",1.00,"Services"
03/09/2022,03/09/2022,"PAYPAL *UDEMY 402-935-7733 CA",12.99,"Education"
03/09/2022,03/11/2022,"PAYPAL *NATIONALRAI 4029357733 CA",-15.00,"Payments and Credits"
03/09/2022,03/11/2022,"PAYPAL *NATIONALRAI 4029357733 CA",-10.00,"Payments and Credits"
03/10/2022,03/10/2022,"INTERNET PAYMENT - THANK YOU",-312.23,"Payments and Credits"
03/11/2022,03/11/2022,"MHS PARCEL #7 PARK GARAG BOSTON MA",3.00,"Government Services"
