Trans. Date,Post Date,Description,Amount,Category
02/19/2023,02/19/2023,"INTERNET PAYMENT - THANK YOU",-422.20,"Payments and Credits"
02/21/2023,02/21/2023,"CHIPOTLE 1391 ALBANY NYGOOGLE PAY ENDING IN 4969",10.37,"Restaurants"
02/22/2023,02/22/2023,"PAYPAL *SPOTIFYUSAI 402-935-7733 CA",4.99,"Services"
02/23/2023,02/23/2023,"ASIAN SUPERMARKET GROUP ALBANY NY",113.45,"Supermarkets"
02/27/2023,02/27/2023,"PANERA SUBD 203162 O 518-276-2030 NY1611675180704089",3.60,"Restaurants"
03/03/2023,03/03/2023,"KARAVALLI REG.CUISINE OF LATHAM NY",27.82,"Restaurants"
03/06/2023,03/06/2023,"ACTON COFFEE HOUSE ACTON MA",3.07,"Restaurants"
03/07/2023,03/08/2023,"$100 REFER A FRIEND CREDIT",-100.00,"Awards and Rebate Credits"
03/09/2023,03/09/2023,"ROCHE BROTHERS112 ACTON MA",9.88,"Supermarkets"
03/11/2023,03/11/2023,"PAYPAL *TTP 402-935-7733 CA",1.00,"Education"
03/12/2023,03/12/2023,"BJS FUEL #9209 HUDSON MA",39.47,"Gasoline"
03/12/2023,03/12/2023,"PAYPAL *HBO MAX 888-221-1161 CA",15.99,"Services"
03/13/2023,03/13/2023,"HANNAFORD #8450 TROY NY01319R",56.85,"Supermarkets"
03/18/2023,03/19/2023,"MARKET32 PCHOPPER #003 TROY NY",100.00,"Supermarkets"
03/22/2023,03/22/2023,"INTERNET PAYMENT - THANK YOU",-286.49,"Payments and Credits"
03/22/2023,03/22/2023,"PAYPAL *SPOTIFYUSAI 888-221-1161 CA",4.99,"Services"
03/25/2023,03/25/2023,"HANNAFORD #8450 TROY NY02567R",8.07,"Supermarkets"
03/25/2023,03/25/2023,"MARKET32 PCHOPPER #003 TROY NY",2.19,"Supermarkets"
03/25/2023,03/25/2023,"PREPSCHOLAR DOT COM 402-935-7733 MA",139.00,"Services"
03/29/2023,03/29/2023,"PANERA SUBD 203162 O 518-276-2030 NY1611675181934584",3.60,"Restaurants"
04/03/2023,04/03/2023,"SQ *PALATE DE LA ROSA TROY NY0002305843017336054122",14.02,"Restaurants"
04/05/2023,04/05/2023,"PINTO THAI KITCHEN ALBANY NY",25.74,"Restaurants"
