Date,Food,Online Shopping,Groceries,Utility
2023-02-21,10.37,0.0,0.0,0.0
2023-02-22,0.0,0.0,0.0,4.99
2023-02-23,0.0,0.0,113.45,0.0
2023-02-27,3.6,0.0,0.0,0.0
2023-03-03,27.82,0.0,0.0,0.0
2023-03-06,3.07,0.0,0.0,0.0
2023-03-09,0.0,0.0,9.88,0.0
2023-03-12,0.0,0.0,0.0,15.99
2023-03-13,0.0,0.0,56.85,0.0
2023-03-18,0.0,0.0,100.0,0.0
2023-03-22,0.0,0.0,0.0,4.99
2023-03-25,0.0,0.0,10.26,139.0
2023-03-29,3.6,0.0,0.0,0.0
2023-04-03,14.02,0.0,0.0,0.0
2023-04-05,25.74,0.0,0.0,0.0
2023-04-07,5.94,0.0,0.0,0.0
2023-04-08,0.0,0.0,0.0,0.0
2023-04-09,0.0,31.86,0.0,0.0
2023-04-10,40.0,0.0,0.0,0.0
2023-04-11,12.36,0.0,0.0,0.0
2023-04-13,21.71,0.0,16.6,0.0
2023-04-14,11.0,0.0,0.0,0.0
2023-04-16,18.99,0.0,0.0,0.0
2023-04-17,17.32,0.0,0.0,0.0
2023-04-19,10.96,0.0,0.0,0.0
2023-04-20,36.97,0.0,0.0,0.0
2023-04-21,23.22,0.0,0.0,100.0
2023-04-22,25.74,0.0,0.0,0.0
2023-04-23,89.65,0.0,0.0,0.0
2023-04-25,27.6,0.0,0.0,0.0
2023-04-26,10.38,0.0,0.0,0.0
2023-04-27,47.47,0.0,0.0,0.0
2023-04-28,3.6,0.0,0.0,0.0
2023-04-29,12.04,0.0,0.0,0.0
2023-04-30,0.0,20.0,0.0,0.0
2023-05-03,12.58,0.0,0.0,0.0
2023-05-04,12.84,0.0,0.0,0.0
2023-05-05,10.44,0.0,0.0,0.0
2023-05-07,0.0,24.0,38.7,0.0
2023-05-08,0.0,67.0,0.0,0.0
2023-05-11,15.46,0.0,0.0,0.0
2023-05-13,0.0,24.99,0.0,0.0
2023-05-14,0.0,0.0,14.58,0.0
2023-05-16,9.03,0.0,0.0,0.0
2023-05-17,38.370000000000005,0.0,0.0,0.0
2023-05-18,25.79,0.0,0.0,0.0
2023-05-19,9.52,0.0,0.0,0.0
2023-05-21,13.37,13.48,0.0,0.0
2023-05-22,19.87,0.0,0.0,0.0
2023-05-23,19.0,0.0,0.0,0.0
2023-05-24,17.27,0.0,0.0,0.0
2023-05-25,6.11,0.0,0.0,0.0
2023-05-26,23.75,0.0,0.0,0.0
2023-05-30,6.11,0.0,0.0,0.0
2023-05-31,17.8,0.0,0.0,0.0
2023-06-01,28.57,13.96,0.0,0.0
2023-06-02,23.23,0.0,0.0,0.0
2023-06-03,0.0,0.0,31.87,0.0
2023-06-04,14.44,0.0,0.0,0.0
2023-06-05,16.04,0.0,0.0,0.0
2023-06-06,6.11,0.0,0.0,0.0
2023-06-07,14.61,0.0,0.0,0.0
2023-06-08,150.74,0.0,0.0,0.0
2023-06-09,30.76,0.0,0.0,0.0
2023-06-11,0.0,0.0,8.56,0.0
2023-06-12,22.92,0.0,0.0,20.0
2023-06-14,39.94,0.0,0.0,0.0
2023-06-15,6.11,0.0,0.0,0.0
2023-06-16,18.43,0.0,21.98,20.0
2023-06-20,8.76,0.0,0.0,0.0
2023-06-22,11.66,0.0,0.0,0.0
2023-06-23,59.05,0.0,0.0,0.0
2023-06-24,18.81,0.0,0.0,0.0
2023-06-26,96.31,0.0,0.0,0.0
2023-06-27,33.64,0.0,6.99,0.0
2023-06-28,21.63,0.0,0.0,0.0
2023-06-29,26.09,0.0,0.0,0.0
2023-06-30,14.34,0.0,0.0,0.0
2023-07-02,0.0,19.99,0.0,10.0
2023-07-05,12.75,0.0,0.0,0.0
2023-07-06,19.450000000000003,0.0,0.0,0.0
2023-07-07,64.46000000000001,0.0,0.0,0.0
2023-07-08,43.36,0.0,0.0,0.0
2023-07-10,2.66,0.0,0.0,0.0
2023-07-11,35.15,0.0,0.0,0.0
2023-07-12,14.61,0.0,0.0,0.0
2023-07-13,14.92,0.0,0.0,0.0
2023-07-14,12.75,2.43,0.0,0.0
2023-07-15,3.72,0.0,0.0,0.0
2023-07-17,18.38,0.0,48.96,0.0
2023-07-18,8.5,0.0,0.0,0.0
2023-07-19,23.950000000000003,0.0,0.0,0.0
2023-07-20,12.22,0.0,0.0,0.0
2023-07-21,39.21,0.0,19.98,0.0
2023-07-22,153.13,0.0,3.48,0.0
2023-07-23,19.42,0.0,0.0,0.0
2023-07-24,0.0,0.0,33.32,10.0
2023-07-25,10.63,0.0,0.0,0.0
2023-07-26,31.880000000000003,0.0,0.0,0.0
2023-07-27,32.74,0.0,0.0,0.0
2023-07-28,21.55,0.0,3.49,0.0
2023-07-29,5.5,0.0,0.0,0.0
2023-07-30,4.970000000000001,2.84,0.0,0.0
2023-07-31,90.77,0.0,0.0,0.0
